a_exp,t_cou,t_des3,t_fee,p_fla,p_work
教师,韩国,国际会议,学校经费,优秀,土木工程学院
教师,韩国,国际会议,学校经费,优秀,土木工程学院
教师,韩国,国际会议,学校经费,优秀,土木工程学院
教师,韩国,国际会议,学校经费,优秀,土木工程学院
学生,德国,访问考察,费用自理,良好,理学院
学生,德国,访问考察,费用自理,良好,理学院
,澳大利亚,国际会议,学校经费,优秀,航天学院
教师,法国,合作研究,"境外邀请方, 科研经费",良好,理学院
学生,新加坡,国际会议,学校经费,优秀,航天学院
学生,瑞士,留学进修,学校经费,良好,机电工程学院
学生,美国,探亲旅游,费用自理,一般,外国语学院
教师,澳大利亚,国际会议,学校经费,优秀,化工学院
教师,澳大利亚,国际会议,学校经费,优秀,航天学院
学生,日本,留学进修,费用自理,良好,市政环境工程学院
学生,美国,访问考察,费用自理,良好,威海校区
教师,新西兰,国际会议,学校经费,良好,经济与管理学院
教师,新西兰,国际会议,学校经费,优秀,经济与管理学院
教师,日本,合作研究,"境外邀请方, 科研经费",优秀,化工学院
学生,美国,访问考察,费用自理,良好,软件学院
教师,美国,国际会议,科研经费,一般,市政环境工程学院
学生,英国,留学进修,科研经费,优秀,建筑学院
教师,韩国,国际会议,"境外邀请方, 科研经费",优秀,能源科学与工程学院
学生,韩国,国际会议,"境外邀请方, 科研经费",良好,能源科学与工程学院
教师,澳大利亚,国际会议,"境外邀请方, 科研经费",优秀,土木工程学院
学生,美国,访问考察,费用自理,优秀,威海校区
教师,香港,国际会议,学校经费,优秀,土木工程学院
教师,美国,国际会议,学校经费,良好,交通科学与工程学院
教师,美国,国际会议,学校经费,良好,交通科学与工程学院
学生,美国,访问考察,费用自理,初级,机电工程学院
教授,新加坡,国际会议,"学校经费, 科研经费",优秀,机电工程学院
教师,意大利,国际会议,境外邀请方,优秀,市政环境工程学院
教师,香港,国际会议,科研经费,良好,土木工程学院
教师,香港,国际会议,科研经费,优秀,土木工程学院
教师,香港,国际会议,科研经费,优秀,土木工程学院
教师,香港,国际会议,学校经费,良好,校本部机关
学生,加拿大,留学进修,"学校经费, 科研经费",良好,机电工程学院
学生,美国,访问考察,费用自理,一般,建筑学院
教授,新西兰,国际会议,学校经费,一般,电气工程及自动化学院
教师,新西兰,国际会议,学校经费,优秀,电气工程及自动化学院
,香港,合作研究,"境外邀请方, 学校经费",优秀,校本部机关
,澳门,合作研究,学校经费,优秀,校本部机关
教师,新西兰,国际会议,"学校经费, 学院经费, 科研经费",优秀,航天学院
教师,丹麦,留学进修,学院经费,优秀,材料科学与工程学院
学生,香港,国际会议,科研经费,良好,机电工程学院
,美国,访问考察,费用自理,优秀,威海校区
教师,新加坡,国际会议,学校经费,优秀,材料科学与工程学院
学生,澳大利亚,访问考察,费用自理,良好,市政环境工程学院
教师,荷兰,合作研究,境外邀请方,良好,经济与管理学院
,意大利,访问考察,"学校经费, 科研经费",优秀,经济与管理学院
教师,意大利,国际会议,"学校经费, 科研经费",优秀,经济与管理学院
,美国,国际会议,"境外邀请方, 学校经费",优秀,校本部机关
院长,香港,访问考察,学院经费,良好,校本部机关
教师,美国,留学进修,费用自理,优秀,航天学院
,中国台湾,合作研究,学校经费,优秀,校本部机关
,中国台湾,合作研究,学校经费,优秀,校本部机关
,中国台湾,合作研究,学校经费,优秀,经济与管理学院
,中国台湾,合作研究,学校经费,一般,校本部机关
教师,巴哈马,国际会议,"学校经费, 科研经费",优秀,材料科学与工程学院
教师,美国,国际会议,"学校经费, 学院经费, 科研经费",优秀,航天学院
学生,美国,实习培训,费用自理,一般,化工学院
教师,美国,国际会议,学院经费,优秀,经济与管理学院
教师,美国,国际会议,学院经费,优秀,经济与管理学院
教师,美国,国际会议,学院经费,良好,经济与管理学院
教师,韩国,国际会议,学校经费,优秀,外国语学院
,韩国,国际会议,学校经费,优秀,外国语学院
学生,美国,实习培训,费用自理,一般,化工学院
教授,印度尼西亚,国际会议,科研经费,优秀,机电工程学院
,加拿大,合作研究,学校经费,优秀,市政环境工程学院
,中国台湾,访问考察,学院经费,良好,建筑学院
,中国台湾,访问考察,学院经费,良好,建筑学院
院长,日本,访问考察,学院经费,优秀,软件学院
教师,美国,国际会议,"学校经费, 学院经费, 科研经费",良好,航天学院
教师,美国,国际会议,"学校经费, 学院经费, 科研经费",优秀,航天学院
学生,美国,访问考察,"学校经费, 学院经费",优秀,理学院
学生,美国,访问考察,"学校经费, 学院经费",良好,理学院
学生,美国,访问考察,"学校经费, 学院经费",一般,理学院
学生,美国,访问考察,"学校经费, 学院经费",一般,理学院
学生,美国,访问考察,"学校经费, 学院经费",良好,理学院
教授,美国,访问考察,"学校经费, 学院经费",优秀,校本部机关
,美国,留学进修,费用自理,初级,软件学院
教师,美国,国际会议,"学校经费, 科研经费",良好,基础与交叉科学研究院
学生,加拿大,合作研究,科研经费,良好,能源科学与工程学院
学生,老挝,合作研究,科研经费,良好,交通科学与工程学院
教师,老挝,合作研究,科研经费,优秀,交通科学与工程学院
教师,老挝,合作研究,科研经费,良好,交通科学与工程学院
教师,美国,合作研究,科研经费,良好,建筑学院
教师,美国,合作研究,科研经费,良好,建筑学院
教师,乌克兰,国际会议,"学校经费, 科研经费",优秀,威海校区
学生,美国,留学进修,费用自理,良好,计算机科学与技术学院
学生,德国,留学进修,费用自理,良好,理学院
学生,美国,访问考察,费用自理,良好,材料科学与工程学院
学生,美国,访问考察,费用自理,良好,威海校区
学生,美国,访问考察,费用自理,良好,威海校区
学生,美国,留学进修,费用自理,初级,软件学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,良好,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
教师,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,良好,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,良好,建筑学院
学生,美国,留学进修,费用自理,良好,航天学院
教师,新加坡,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
学生,德国,访问考察,费用自理,初级,理学院
学生,德国,访问考察,费用自理,良好,机电工程学院
学生,美国,访问考察,费用自理,初级,计算机科学与技术学院
教师,美国,国际会议,学校经费,优秀,化工学院
教师,美国,国际会议,学校经费,优秀,化工学院
教师,美国,国际会议,学校经费,优秀,化工学院
学生,美国,访问考察,费用自理,初级,计算机科学与技术学院
副教授,中国台湾,访问考察,学院经费,优秀,建筑学院
副教授,中国台湾,访问考察,学院经费,良好,建筑学院
学生,美国,访问考察,费用自理,初级,软件学院
学生,美国,访问考察,费用自理,优秀,威海校区
学生,美国,留学进修,费用自理,优秀,市政环境工程学院
教授,俄罗斯,合作研究,科研经费,优秀,航天学院
教授,俄罗斯,合作研究,科研经费,优秀,基础与交叉科学研究院
教授,俄罗斯,合作研究,科研经费,良好,航天学院
教师,俄罗斯,合作研究,科研经费,良好,航天学院
教师,俄罗斯,合作研究,科研经费,良好,航天学院
副教授,香港,国际会议,科研经费,优秀,能源科学与工程学院
教师,英国,留学进修,科研经费,一般,航天学院
教师,美国,访问考察,"学校经费, 科研经费",优秀,理学院
,香港,国际会议,科研经费,良好,理学院
教师,美国,国际会议,科研经费,优秀,理学院
教师,美国,合作研究,科研经费,良好,电子与信息工程学院
教授,英国,合作研究,境外邀请方,优秀,电气工程及自动化学院
学生,意大利,国际会议,学校经费,良好,经济与管理学院
学生,中国台湾,访问考察,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",初级,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",优秀,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",初级,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,访问考察,"学院经费, 费用自理",一般,建筑学院
教师,澳大利亚,国际会议,科研经费,优秀,土木工程学院
学生,中国台湾,留学进修,费用自理,优秀,建筑学院
学生,中国台湾,留学进修,费用自理,优秀,建筑学院
学生,中国台湾,留学进修,费用自理,初级,建筑学院
学生,中国台湾,留学进修,费用自理,优秀,建筑学院
学生,中国台湾,留学进修,费用自理,初级,建筑学院
学生,日本,国际会议,"学校经费, 科研经费",优秀,电气工程及自动化学院
学生,美国,留学进修,费用自理,优秀,人文与社会科学学院
教师,日本,国际会议,"学校经费, 科研经费",良好,电气工程及自动化学院
教师,日本,国际会议,"学校经费, 科研经费",优秀,电气工程及自动化学院
教师,芬兰,合作研究,"学校经费, 学院经费, 科研经费",一般,建筑学院
教师,芬兰,合作研究,"学校经费, 学院经费, 科研经费",良好,建筑学院
教师,芬兰,合作研究,"学校经费, 学院经费, 科研经费",良好,建筑学院
教师,韩国,国际会议,"学校经费, 科研经费",良好,土木工程学院
教师,美国,访问考察,科研经费,优秀,土木工程学院
教师,香港,国际会议,科研经费,良好,建筑学院
教师,香港,国际会议,科研经费,良好,建筑学院
,美国,国际会议,学校经费,优秀,交通科学与工程学院
教师,美国,国际会议,学校经费,良好,理学院
教师,美国,国际会议,学校经费,优秀,理学院
教师,美国,国际会议,学校经费,良好,理学院
教师,美国,国际会议,学校经费,优秀,理学院
教师,美国,国际会议,学校经费,良好,理学院
教师,美国,国际会议,学校经费,良好,理学院
教师,美国,国际会议,科研经费,良好,交通科学与工程学院
学生,法国,访问考察,境外邀请方,优秀,理学院
学生,中国台湾,留学进修,费用自理,良好,建筑学院
学生,中国台湾,留学进修,费用自理,良好,建筑学院
,法国,访问考察,境外邀请方,优秀,理学院
学生,中国台湾,留学进修,费用自理,一般,经济与管理学院
学生,中国台湾,留学进修,费用自理,良好,威海校区
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,初级,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,一般,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
学生,芬兰,合作研究,费用自理,一般,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
学生,芬兰,合作研究,费用自理,初级,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
学生,芬兰,合作研究,费用自理,优秀,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
学生,芬兰,合作研究,费用自理,良好,建筑学院
副教授,法国,访问考察,"学校经费, 科研经费",优秀,基础与交叉科学研究院
学生,法国,访问考察,"学校经费, 科研经费",优秀,理学院
教师,法国，德国,合作研究,科研经费,良好,基础与交叉科学研究院
教师,美国,国际会议,学校经费,优秀,交通科学与工程学院
教师,中国台湾,国际会议,"学校经费, 科研经费",良好,航天学院
教授,中国台湾,国际会议,"学校经费, 科研经费",优秀,航天学院
教师,香港,访问考察,科研经费,优秀,电子与信息工程学院
副教授,法国,访问考察,科研经费,优秀,基础与交叉科学研究院
教师,美国,国际会议,学校经费,优秀,交通科学与工程学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,良好,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,良好,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,良好,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,良好,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
,美国,合作研究,费用自理,优秀,建筑学院
教师,中国台湾,访问考察,学校经费,良好,建筑学院
教师,中国台湾,访问考察,学校经费,良好,建筑学院
教师,中国台湾,访问考察,学校经费,良好,建筑学院
学生,俄罗斯,国际会议,学校经费,良好,材料科学与工程学院
学生,俄罗斯,国际会议,学校经费,良好,材料科学与工程学院
学生,俄罗斯,国际会议,学校经费,良好,威海校区
学生,俄罗斯,国际会议,学校经费,良好,材料科学与工程学院
学生,俄罗斯,国际会议,学校经费,良好,材料科学与工程学院
学生,俄罗斯,国际会议,学校经费,良好,材料科学与工程学院
学生,俄罗斯,国际会议,学校经费,良好,材料科学与工程学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,优秀,建筑学院
学生,美国,合作研究,费用自理,良好,建筑学院
学生,德国,访问考察,费用自理,良好,机电工程学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,良好,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,一般,建筑学院
学生,中国台湾,访问考察,费用自理,初级,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,中国台湾,访问考察,费用自理,优秀,建筑学院
学生,英国,国际会议,"学校经费, 科研经费",良好,电气工程及自动化学院
学生,德国，法国,留学进修,费用自理,良好,电子与信息工程学院
教师,意大利,国际会议,学校经费,良好,校本部机关
教师,越南,国际会议,境外邀请方,优秀,法学院
教师,英国,国际会议,"学校经费, 科研经费",良好,电气工程及自动化学院
,中国台湾,访问考察,"学校经费, 费用自理",良好,建筑学院
学生,德国，法国,留学进修,费用自理,良好,材料科学与工程学院
教师,韩国,国际会议,学校经费,优秀,建筑学院
学生,美国,留学进修,费用自理,良好,软件学院
学生,韩国,国际会议,"学校经费, 科研经费",初级,土木工程学院
学生,美国,实习培训,费用自理,良好,软件学院
教师,美国,合作研究,"学校经费, 学院经费",优秀,建筑学院
教师,意大利,国际会议,学院经费,优秀,经济与管理学院
教师,意大利,国际会议,学院经费,优秀,经济与管理学院
副教授,英国,合作研究,学校经费,良好,建筑学院
学生,美国,留学进修,费用自理,良好,能源科学与工程学院
教师,美国,访问考察,学校经费,良好,法学院
学生,美国,留学进修,费用自理,优秀,经济与管理学院
学生,日本,实习培训,科研经费,优秀,经济与管理学院
学生,日本,国际会议,学校经费,良好,机电工程学院
教授,中国台湾,访问考察,费用自理,良好,建筑学院
教师,中国台湾,访问考察,费用自理,良好,建筑学院
教师,中国台湾,访问考察,学校经费,良好,建筑学院
副教授,中国台湾,访问考察,学校经费,良好,建筑学院
学生,美国,国际会议,"学校经费, 学院经费",良好,机电工程学院
学生,美国,国际会议,"学校经费, 学院经费",良好,机电工程学院
学生,美国,国际会议,"学校经费, 学院经费",良好,机电工程学院
学生,美国,国际会议,"学校经费, 学院经费",良好,机电工程学院
教师,美国,国际会议,"学校经费, 学院经费",优秀,机电工程学院
教师,美国,国际会议,"学校经费, 学院经费",良好,机电工程学院
教师,瑞士,访问考察,学校经费,优秀,航天学院
教师,瑞士,访问考察,学校经费,优秀,理学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",初级,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",初级,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",一般,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",优秀,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
学生,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
教师,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
教师,中国台湾,合作研究,"学院经费, 费用自理",良好,建筑学院
教授,日本,合作研究,境外邀请方,优秀,材料科学与工程学院
,美国,国际会议,学校经费,良好,土木工程学院
教师,美国,国际会议,学校经费,良好,航天学院
教师,美国,国际会议,学校经费,优秀,航天学院
,美国,国际会议,学校经费,优秀,土木工程学院
教师,美国,探亲旅游,费用自理,一般,计算机科学与技术学院
学生,中国台湾,合作研究,费用自理,良好,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
学生,中国台湾,合作研究,费用自理,良好,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
学生,中国台湾,合作研究,费用自理,初级,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
学生,中国台湾,合作研究,费用自理,良好,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
教师,中国台湾,合作研究,费用自理,优秀,建筑学院
学生,中国台湾,合作研究,费用自理,初级,建筑学院
学生,中国台湾,合作研究,费用自理,良好,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
学生,中国台湾,合作研究,费用自理,一般,建筑学院
教师,中国台湾,合作研究,费用自理,良好,建筑学院
教授,波兰，挪威，瑞士，意大利,访问考察,科研经费,优秀,电子与信息工程学院
教师,波兰，挪威，瑞士，意大利,访问考察,科研经费,良好,电子与信息工程学院
教师,波兰，挪威，瑞士，意大利,访问考察,科研经费,优秀,电子与信息工程学院
学生,美国,国际会议,"科研经费, 费用自理",优秀,计算机科学与技术学院
学生,美国,合作研究,"境外邀请方, 学校经费",良好,航天学院
教师,美国,留学进修,费用自理,优秀,计算机科学与技术学院
教师,中国台湾,国际会议,科研经费,优秀,建筑学院
,法国,留学进修,费用自理,良好,市政环境工程学院
,中国台湾,合作研究,学校经费,良好,建筑学院
副教授,美国,合作研究,科研经费,良好,基础与交叉科学研究院
教师,中国台湾,国际会议,学院经费,优秀,建筑学院
教师,美国,国际会议,科研经费,优秀,理学院
教师,美国,合作研究,"学校经费, 学院经费",优秀,建筑学院
教师,中国台湾,国际会议,科研经费,优秀,理学院
教师,美国,访问考察,学院经费,一般,经济与管理学院
教师,俄罗斯,国际会议,科研经费,优秀,基础与交叉科学研究院
,奥地利,国际会议,科研经费,优秀,建筑学院
,比利时,访问考察,科研经费,优秀,建筑学院
学生,韩国,合作研究,学校经费,优秀,航天学院
学生,韩国,合作研究,学校经费,良好,机电工程学院
学生,韩国,合作研究,学校经费,一般,航天学院
学生,韩国,合作研究,学校经费,优秀,航天学院
学生,韩国,合作研究,学校经费,一般,机电工程学院
学生,韩国,合作研究,学校经费,良好,机电工程学院
学生,韩国,合作研究,学校经费,一般,航天学院
学生,韩国,合作研究,学校经费,一般,航天学院
学生,韩国,合作研究,学校经费,初级,航天学院
学生,韩国,合作研究,学校经费,优秀,航天学院
学生,韩国,合作研究,学校经费,优秀,电气工程及自动化学院
教授,韩国,合作研究,学校经费,优秀,理学院
副教授,韩国,合作研究,学校经费,初级,机电工程学院
教授,韩国,合作研究,学校经费,良好,校本部机关
副教授,韩国,合作研究,学校经费,优秀,电子与信息工程学院
教师,韩国,合作研究,学校经费,良好,航天学院
副教授,韩国,合作研究,学校经费,优秀,校本部机关
教师,韩国,合作研究,学校经费,良好,校本部机关
教授,韩国,合作研究,学校经费,良好,市政环境工程学院
教师,美国,访问考察,学校经费,良好,计算机科学与技术学院
教授,日本,合作研究,科研经费,优秀,基础与交叉科学研究院
教师,加拿大,国际会议,学校经费,优秀,市政环境工程学院
学生,美国,留学进修,学校经费,优秀,航天学院
教师,英国,合作研究,科研经费,优秀,电气工程及自动化学院
学生,美国,访问考察,科研经费,优秀,机电工程学院
教师,美国,国际会议,"学校经费, 科研经费",优秀,经济与管理学院
,澳大利亚,国际会议,学校经费,一般,食品科学与工程学院
教授,美国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,中国台湾,合作研究,学校经费,良好,建筑学院
学生,美国,留学进修,费用自理,良好,计算机科学与技术学院
教师,澳大利亚,合作研究,"境外邀请方, 科研经费",优秀,电子与信息工程学院
,俄罗斯,合作研究,科研经费,一般,航天学院
教授,俄罗斯,合作研究,科研经费,一般,航天学院
副教授,俄罗斯,合作研究,科研经费,良好,航天学院
教师,俄罗斯,合作研究,科研经费,良好,航天学院
教师,俄罗斯,合作研究,科研经费,良好,航天学院
教授,俄罗斯,合作研究,科研经费,良好,航天学院
教师,韩国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,韩国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,韩国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,美国,合作研究,科研经费,良好,计算机科学与技术学院
学生,美国,合作研究,科研经费,良好,计算机科学与技术学院
教师,美国,探亲旅游,费用自理,一般,理学院
教师,美国,探亲旅游,费用自理,一般,建筑学院
学生,澳大利亚,国际会议,科研经费,优秀,计算机科学与技术学院
教师,德国,合作研究,科研经费,一般,机电工程学院
教师,德国,合作研究,科研经费,良好,机电工程学院
教师,德国,合作研究,科研经费,优秀,机电工程学院
学生,德国,合作研究,科研经费,良好,机电工程学院
教师,德国,合作研究,科研经费,良好,机电工程学院
教师,德国,合作研究,科研经费,初级,机电工程学院
学生,澳大利亚,国际会议,学校经费,优秀,计算机科学与技术学院
教授,美国,合作研究,境外邀请方,优秀,理学院
,意大利,国际会议,学校经费,优秀,外国语学院
教授,德国,访问考察,科研经费,良好,市政环境工程学院
教授,德国,访问考察,科研经费,良好,市政环境工程学院
教师,英国,访问考察,科研经费,优秀,外国语学院
学生,日本,留学进修,费用自理,一般,计算机科学与技术学院
教授,美国,合作研究,境外邀请方,良好,理学院
教师,马来西亚,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教授,美国,国际会议,学校经费,优秀,电子与信息工程学院
学生,美国,留学进修,科研经费,优秀,航天学院
学生,美国,国际会议,科研经费,良好,计算机科学与技术学院
教师,香港,合作研究,科研经费,优秀,经济与管理学院
教师,德国,国际会议,科研经费,优秀,机电工程学院
教师,美国,国际会议,科研经费,优秀,电子与信息工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,土木工程学院
教师,美国,国际会议,"学校经费, 科研经费",优秀,土木工程学院
教师,韩国,国际会议,"学校经费, 科研经费, 费用自理",优秀,能源科学与工程学院
学生,韩国,国际会议,"学校经费, 科研经费, 费用自理",良好,能源科学与工程学院
教师,韩国,国际会议,"学校经费, 科研经费, 费用自理",优秀,能源科学与工程学院
教师,韩国,国际会议,"学校经费, 科研经费, 费用自理",优秀,能源科学与工程学院
学生,韩国,国际会议,"学校经费, 科研经费, 费用自理",良好,能源科学与工程学院
教师,日本,探亲旅游,费用自理,良好,材料科学与工程学院
学生,日本,探亲旅游,境外邀请方,优秀,航天学院
教师,英国,国际会议,学校经费,优秀,化工学院
教师,丹麦,合作研究,科研经费,良好,航天学院
教师,新加坡,合作研究,科研经费,良好,土木工程学院
教师,新加坡,合作研究,科研经费,良好,土木工程学院
副教授,英国,合作研究,科研经费,良好,航天学院
副教授,韩国,国际会议,学校经费,优秀,化工学院
教师,美国,国际会议,"学校经费, 科研经费",优秀,机电工程学院
教师,美国,国际会议,学校经费,良好,人文与社会科学学院
教师,美国,国际会议,学校经费,优秀,校本部机关
教师,美国,国际会议,学校经费,一般,校本部机关
教师,英国,留学进修,学院经费,优秀,校本部机关
教师,英国,留学进修,学院经费,良好,校本部机关
学生,墨西哥,国际会议,学校经费,优秀,航天学院
教授,美国,国际会议,"学校经费, 科研经费",优秀,市政环境工程学院
教师,新加坡,国际会议,学校经费,优秀,建筑学院
教授,美国,国际会议,科研经费,优秀,土木工程学院
