a_exp,t_cou,t_des3,t_fee,p_fla,p_work
教师,美国,学术会议,科研经费,良好,计算机科学与技术学院
教授,日本,学术会议,学校经费,良好,土木工程学院
教师,日本,学术会议,学校经费,优秀,土木工程学院
教师,德国，英国,访问考察,科研经费,优秀,材料科学与工程学院
教授,德国，英国,访问考察,科研经费,优秀,材料科学与工程学院
副教授,德国，英国,访问考察,科研经费,优秀,材料科学与工程学院
教授,德国，英国,访问考察,科研经费,优秀,材料科学与工程学院
教授,德国，英国,访问考察,科研经费,优秀,材料科学与工程学院
教师,英国,访问考察,科研经费,良好,材料科学与工程学院
,澳大利亚,学术会议,学校经费,良好,电子与信息工程学院
,韩国,学术会议,,优秀,市政环境工程学院
教师,韩国,学术会议,科研经费,优秀,市政环境工程学院
,英国,学术会议,学校经费,优秀,土木工程学院
,英国,学术会议,学校经费,优秀,土木工程学院
,英国,学术会议,学校经费,优秀,土木工程学院
,日本,访问考察,科研经费,良好,能源科学与工程学院
院长,美国,访问考察,科研经费,良好,电气工程及自动化学院
教师,韩国,学术会议,学校经费,优秀,市政环境工程学院
教授,韩国,学术会议,学校经费,优秀,市政环境工程学院
,美国,学术会议,,,
教师,新加坡,学术会议,学校经费,优秀,航天学院
教师,美国,学术会议,学校经费,优秀,航天学院
教师,美国,学术会议,学校经费,良好,航天学院
教授,美国,学术会议,科研经费,优秀,电子与信息工程学院
教授,法国,访问考察,学院经费,优秀,软件学院
副教授,法国,访问考察,学院经费,良好,计算机科学与技术学院
教授,日本,学术会议,科研经费,优秀,基础与交叉科学研究院
,美国,学术会议,,,
教授,澳大利亚,学术会议,科研经费,良好,市政环境工程学院
教师,美国,学术会议,学校经费,优秀,化工学院
教授,美国,学术会议,学校经费,优秀,计算机科学与技术学院
,美国,学术会议,,优秀,计算机科学与技术学院
副教授,新加坡,学术会议,学校经费,良好,经济与管理学院
教师,美国,学术会议,学校经费,初级,电气工程及自动化学院
,韩国,学术会议,科研经费,良好,市政环境工程学院
,韩国,学术会议,科研经费,优秀,市政环境工程学院
,韩国,学术会议,科研经费,优秀,市政环境工程学院
教师,韩国,学术会议,科研经费,优秀,市政环境工程学院
,韩国,学术会议,科研经费,良好,航天学院
副教授,英国,访问学者,境外邀请方,优秀,电气工程及自动化学院
,新加坡,学术会议,科研经费,良好,经济与管理学院
,美国,学术会议,学校经费,初级,电气工程及自动化学院
,英国,访问学者,,优秀,电气工程及自动化学院
教授,澳大利亚,学术会议,学校经费,优秀,化工学院
教师,英国,合作研究,,良好,经济与管理学院
,德国,学术交流,,良好,能源科学与工程学院
副教授,希腊,学术会议,学校经费,优秀,航天学院
,韩国,学术交流,,良好,理学院
,韩国,学术交流,,良好,理学院
教授,瑞典,学术交流,科研经费,良好,机电工程学院
副教授,美国,学术会议,科研经费,良好,软件学院
,,,,良好,航天学院
教师,韩国,学术会议,科研经费,良好,市政环境工程学院
教师,罗马尼亚,学术会议,科研经费,优秀,基础与交叉科学研究院
教师,罗马尼亚,学术会议,科研经费,优秀,基础与交叉科学研究院
,,,,良好,航天学院
教师,韩国,学术会议,科研经费,优秀,市政环境工程学院
,,,,良好,航天学院
,澳大利亚，新西兰,访问考察,学校经费,一般,校本部机关
,澳大利亚，新西兰,访问考察,学校经费,一般,校本部机关
,澳大利亚，新西兰,访问考察,学校经费,优秀,校本部机关
,澳大利亚，新西兰,访问考察,学校经费,初级,校本部机关
教师,韩国,学术会议,科研经费,良好,航天学院
副教授,澳大利亚，新西兰,访问考察,学校经费,一般,校本部机关
教授,澳大利亚，新西兰,访问考察,学校经费,一般,校本部机关
副教授,澳大利亚，新西兰,访问考察,学校经费,初级,校本部机关
教师,澳大利亚，新西兰,访问考察,学校经费,优秀,校本部机关
,,,,良好,航天学院
,,,,良好,航天学院
,,,,良好,航天学院
,,,,良好,航天学院
教师,日本,学术会议,科研经费,优秀,电子与信息工程学院
,法国,学术会议,学校经费,优秀,电气工程及自动化学院
教授,法国,学术会议,学校经费,优秀,市政环境工程学院
,日本,学术会议,学校经费,良好,机电工程学院
教师,马耳他,学术会议,科研经费,优秀,深圳研究生院
教师,美国,实习培训,学校经费,良好,校本部机关
教师,美国,实习培训,学校经费,良好,校本部机关
教师,中国香港,实习培训,学校经费,良好,化工学院
,,,,一般,航天学院
,,,,良好,航天学院
,,,,优秀,航天学院
,,,,优秀,航天学院
,,,,优秀,航天学院
教授,美国，加拿大,学术交流,学校经费,优秀,市政环境工程学院
教师,美国，加拿大,学术交流,学校经费,良好,市政环境工程学院
,美国，加拿大,学术交流,学校经费,优秀,基础与交叉科学研究院
教授,美国，加拿大,学术交流,学校经费,优秀,市政环境工程学院
教授,美国，加拿大,学术交流,学校经费,良好,基础与交叉科学研究院
教授,美国，加拿大,学术交流,学校经费,优秀,市政环境工程学院
,美国，加拿大,学术交流,学校经费,良好,市政环境工程学院
教师,澳大利亚,学术会议,学校经费,优秀,化工学院
教师,加拿大,学术会议,科研经费,良好,威海校区
教师,加拿大,学术会议,科研经费,良好,威海校区
教师,加拿大,学术会议,科研经费,良好,威海校区
教师,加拿大,学术会议,科研经费,良好,威海校区
,,,,良好,航天学院
教授,意大利,学术会议,学校经费,优秀,法学院
,美国,学术会议,学校经费,优秀,计算机科学与技术学院
教师,日本,学术会议,学校经费,优秀,外国语学院
,俄罗斯,留学进修,学院经费,优秀,基础与交叉科学研究院
