教师,4,法国,访问考察,境外邀请方,男,已婚,优秀,能源科学与工程学院
教师,4,法国,访问考察,境外邀请方,男,已婚,一般,能源科学与工程学院
教师,4,法国,访问考察,境外邀请方,男,已婚,优秀,校本部机关
教师,4,法国,访问考察,境外邀请方,男,已婚,初级,校本部机关
,1,美国,学术会议,科研经费,男,已婚,良好,校本部机关
,4,法国,访问考察,,男,已婚,一般,能源科学与工程学院
教师,1,日本,学术会议,学校经费,男,已婚,优秀,材料科学与工程学院
,4,法国,访问考察,,男,已婚,优秀,校本部机关
,4,法国,访问考察,,男,已婚,一般,能源科学与工程学院
教师,1,韩国,学术会议,学校经费,女,已婚,优秀,市政环境工程学院
院长,5,加拿大,访问考察,学校经费,女,已婚,优秀,校本部机关
院长,5,加拿大,访问考察,学校经费,女,已婚,优秀,媒体技术与艺术系
院长,5,加拿大,访问考察,学校经费,男,已婚,优秀,校本部机关
院长,5,加拿大,访问考察,学校经费,男,已婚,优秀,理学院
教授,5,加拿大,访问考察,学校经费,女,已婚,优秀,外国语学院
,1,澳大利亚,访问考察,,男,已婚,良好,校本部机关
教师,2,希腊,学术会议,学校经费,女,已婚,良好,基础与交叉科学研究院
,2,希腊,学术会议,学校经费,女,已婚,优秀,校本部机关
教师,1,阿曼,访问考察,学校经费,男,未婚,良好,航天学院
教师,1,韩国,学术会议,学校经费,男,已婚,良好,土木工程学院
,,,,,,,,
教师,1,英国,学术交流,科研经费,女,已婚,良好,经济与管理学院
院长,1,澳大利亚,留学进修,学校经费,男,已婚,良好,校本部机关
院长,1,澳大利亚,实习培训,学校经费,男,已婚,良好,校本部机关
教师,1,美国,学术会议,科研经费,男,已婚,优秀,电气工程及自动化学院
教师,1,加拿大,学术会议,学校经费,女,已婚,优秀,市政环境工程学院
教师,2,希腊,学术会议,学校经费,女,已婚,优秀,校本部机关
,1,希腊,学术会议,,女,已婚,优秀,校本部机关
教师,2,美国,学术会议,科研经费,女,已婚,优秀,电气工程及自动化学院
教师,2,美国,学术会议,科研经费,男,已婚,优秀,电气工程及自动化学院
教授,1,美国,学术会议,科研经费,男,已婚,良好,计算机科学与技术学院
,1,法国,访问考察,,男,已婚,初级,校本部机关
教授,4,法国,访问考察,境外邀请方,男,已婚,优秀,能源科学与工程学院
副教授,4,法国,访问考察,境外邀请方,男,已婚,一般,能源科学与工程学院
教授,4,法国,访问考察,境外邀请方,男,已婚,初级,校本部机关
教授,4,法国,访问考察,境外邀请方,男,已婚,优秀,校本部机关
教师,3,美国,学术会议,科研经费,女,已婚,良好,计算机科学与技术学院
教师,3,美国,学术会议,科研经费,男,已婚,良好,计算机科学与技术学院
教师,3,美国,学术会议,科研经费,男,已婚,良好,计算机科学与技术学院
教授,1,日本,学术会议,学校经费,男,已婚,良好,土木工程学院
教师,1,日本,学术会议,学校经费,男,已婚,优秀,土木工程学院
教师,5,德国，英国,访问考察,科研经费,男,已婚,优秀,材料科学与工程学院
教授,5,德国，英国,访问考察,科研经费,男,已婚,优秀,材料科学与工程学院
副教授,5,德国，英国,访问考察,科研经费,男,已婚,优秀,材料科学与工程学院
教授,5,德国，英国,访问考察,科研经费,男,已婚,优秀,材料科学与工程学院
教授,5,德国，英国,访问考察,科研经费,女,已婚,优秀,材料科学与工程学院
教师,1,英国,访问考察,科研经费,男,已婚,良好,材料科学与工程学院
,1,澳大利亚,学术会议,学校经费,男,已婚,良好,电子与信息工程学院
,1,韩国,学术会议,,男,已婚,优秀,市政环境工程学院
教师,1,韩国,学术会议,科研经费,男,已婚,优秀,市政环境工程学院
,3,英国,学术会议,学校经费,女,未婚,优秀,土木工程学院
,3,英国,学术会议,学校经费,女,已婚,优秀,土木工程学院
,3,英国,学术会议,学校经费,男,已婚,优秀,土木工程学院
,2,日本,访问考察,科研经费,女,已婚,良好,能源科学与工程学院
院长,1,美国,访问考察,科研经费,男,已婚,良好,电气工程及自动化学院
